iso3,iso2,langues
SYC,sc,"Créole, anglais, français"
SYR,sy,Arabe
TCA,tc,Anglais
TCD,td,"Français, arabe"
TGO,tg,Français
THA,th,Thaï
TJK,tj,Tadjik
TKM,tm,Turkmène
TLS,tl,"Tétoum, portugais"
TON,to,"Tongien, anglais"
TTO,tt,Anglais
TUN,tn,Arabe
TUR,tr,Turc
TUV,tv,"Tuvaluan, anglais"
TZA,tz,"Swahili, anglais"
UGA,ug,"Anglais, swahili"
UKR,ua,Ukrainien
URY,uy,Espagnol
USA,us,Anglais
UZB,uz,Ouzbek
VCT,vc,Anglais
VEN,ve,Espagnol
VGB,vg,Anglais
VIR,vi,Anglais
VNM,vn,Vietnamien
VUT,vu,"Bichelamar, anglais, français"
WSM,ws,"Samoan, anglais"
XKX,xk,"Albanais, serbe"
YEM,ye,Arabe
ZAF,za,Onze langues officielles
ZMB,zm,Anglais
ZWE,zw,Seize langues officielles
