code_interne,categorie,secteur,libelle,source,code_source,frequences,unite,dimension_pays,par_defaut
C05.FI.RES.TOTL.MO,C05,S06,Réserves en mois d'importations,Banque mondiale (WDI),FI.RES.TOTL.MO,A,Mois,1,0
C05.DT.ODA.ODAT.GN.ZS,C05,S06,Aide publique au développement reçue,Banque mondiale (WDI),DT.ODA.ODAT.GN.ZS,A,% du RNB,1,0
C05.TX.VAL.MANF.ZS.UN,C05,S06,Part des produits manufacturés dans les exportations,Banque mondiale (WDI),TX.VAL.MANF.ZS.UN,A,%,1,0
C05.TX.VAL.FOOD.ZS.UN,C05,S06,Part des produits primaires dans les exportations,Banque mondiale (WDI),TX.VAL.FOOD.ZS.UN,A,%,1,0
C05.TM.TAX.MRCH.WM.AR.ZS,C05,S06,Tarif douanier moyen appliqué,Banque mondiale (WDI),TM.TAX.MRCH.WM.AR.ZS,A,%,1,0
C05.US_ConcentDiversIndices,C05,S06,Indice de concentration des exportations,CNUCED (UNCTADstat),US_ConcentDiversIndices,A,Indice 0-1,1,0
C10.SL.UEM.TOTL.ZS,C10,S07,Taux de chômage total (estimation OIT),Banque mondiale (WDI),SL.UEM.TOTL.ZS,A,% de la pop. active,1,1
C10.SL.UEM.TOTL.NE.ZS,C10,S07,Taux de chômage (estimation nationale),Banque mondiale (WDI),SL.UEM.TOTL.NE.ZS,A,% de la pop. active,1,0
C10.SL.UEM.1524.ZS,C10,S07,Taux de chômage des jeunes (15-24 ans),Banque mondiale (WDI),SL.UEM.1524.ZS,A,% des 15-24 ans,1,0
C10.DSD_LFS_DF_IALFS_UNE_M,C10,S07,Taux de chômage harmonisé,OCDE (SDMX),DSD_LFS@DF_IALFS_UNE_M,M,%,1,0
C10.LUR,C10,S07,Taux de chômage (projections),FMI (WEO),LUR,A,%,1,0
C10.SL.TLF.CACT.ZS,C10,S07,"Taux d'activité, population totale",Banque mondiale (WDI),SL.TLF.CACT.ZS,A,% des 15 ans et +,1,0
C10.SL.TLF.CACT.FE.ZS,C10,S07,Taux d'activité des femmes,Banque mondiale (WDI),SL.TLF.CACT.FE.ZS,A,% des femmes 15 ans +,1,0
C10.SL.EMP.TOTL.SP.ZS,C10,S07,Ratio emploi sur population,Banque mondiale (WDI),SL.EMP.TOTL.SP.ZS,A,% des 15 ans et +,1,0
C10.SL.AGR.EMPL.ZS,C10,S07,Emploi dans l'agriculture,Banque mondiale (WDI),SL.AGR.EMPL.ZS,A,% de l'emploi total,1,0
C10.SL.IND.EMPL.ZS,C10,S07,Emploi dans l'industrie,Banque mondiale (WDI),SL.IND.EMPL.ZS,A,% de l'emploi total,1,0
C10.SL.SRV.EMPL.ZS,C10,S07,Emploi dans les services,Banque mondiale (WDI),SL.SRV.EMPL.ZS,A,% de l'emploi total,1,0
C10.SL.EMP.VULN.ZS,C10,S07,Emploi vulnérable,Banque mondiale (WDI),SL.EMP.VULN.ZS,A,% de l'emploi total,1,0
C10.SL.EMP.WORK.ZS,C10,S07,Emploi salarié,Banque mondiale (WDI),SL.EMP.WORK.ZS,A,% de l'emploi total,1,0
C10.SL.UEM.NEET.ZS,C10,S07,Jeunes sans emploi ni études ni formation (NEET),Banque mondiale (WDI),SL.UEM.NEET.ZS,A,% des jeunes,1,0
C10.SL.TLF.TOTL.IN,C10,S07,Population active totale,Banque mondiale (WDI),SL.TLF.TOTL.IN,A,Personnes,1,0
C10.SL.GDP.PCAP.EM.KD,C10,S07,PIB par personne employée,Banque mondiale (WDI),SL.GDP.PCAP.EM.KD,A,USD PPA 2021,1,0
C10.SDG_0831_SEX_ECO_RT_A,C10,S07,Emploi informel,OIT (ILOSTAT),SDG_0831_SEX_ECO_RT_A,A,% de l'emploi total,1,0
C11.SI.POV.DDAY,C11,S08,"Taux de pauvreté au seuil de 2,15 USD par jour",Banque mondiale (PIP),SI.POV.DDAY,A,% de la population,1,0
C11.SI.POV.LMIC,C11,S08,"Taux de pauvreté au seuil de 3,65 USD par jour",Banque mondiale (PIP),SI.POV.LMIC,A,% de la population,1,0
C11.SI.POV.UMIC,C11,S08,"Taux de pauvreté au seuil de 6,85 USD par jour",Banque mondiale (PIP),SI.POV.UMIC,A,% de la population,1,0
C11.SI.POV.NAHC,C11,S08,Taux de pauvreté au seuil national,Banque mondiale (WDI),SI.POV.NAHC,A,% de la population,1,0
C11.SI.POV.GAPS,C11,S08,"Écart de pauvreté au seuil de 2,15 USD",Banque mondiale (PIP),SI.POV.GAPS,A,%,1,0
C11.SI.POV.GINI,C11,S08,Indice de Gini,Banque mondiale (PIP),SI.POV.GINI,A,Indice 0-100,1,0
C11.SI.DST.10TH.10,C11,S08,Part du revenu du décile supérieur,Banque mondiale (PIP),SI.DST.10TH.10,A,%,1,0
C11.SI.DST.FRST.20,C11,S08,Part du revenu du quintile inférieur,Banque mondiale (PIP),SI.DST.FRST.20,A,%,1,0
C11.SI.SPR.PC40,C11,S08,Consommation ou revenu moyen des 40 % les plus pauvres,Banque mondiale (WDI),SI.SPR.PC40,A,USD PPA / jour,1,0
C11.per_allsp.cov_pop_tot,C11,S08,Couverture des programmes de protection sociale,Banque mondiale (ASPIRE),per_allsp.cov_pop_tot,A,% de la population,1,0
C11.HD.HCI.OVRL,C11,S08,Indice de capital humain,Banque mondiale (WDI),HD.HCI.OVRL,A,Indice 0-1,1,0
C11.HDI,C11,S08,Indice de développement humain,PNUD (HDR),HDI,A,Indice 0-1,1,0
C11.SP.POP.TOTL,C11,S09,Population totale,Banque mondiale (WDI),SP.POP.TOTL,A,Personnes,1,1
C11.SP.POP.GROW,C11,S09,Croissance démographique,Banque mondiale (WDI),SP.POP.GROW,A,% annuel,1,0
C11.SP.POP.0014.TO.ZS,C11,S09,Population âgée de 0 à 14 ans,Banque mondiale (WDI),SP.POP.0014.TO.ZS,A,% du total,1,0
C11.SP.POP.1564.TO.ZS,C11,S09,Population âgée de 15 à 64 ans,Banque mondiale (WDI),SP.POP.1564.TO.ZS,A,% du total,1,0
C11.SP.POP.65UP.TO.ZS,C11,S09,Population âgée de 65 ans et plus,Banque mondiale (WDI),SP.POP.65UP.TO.ZS,A,% du total,1,0
C11.SP.POP.DPND,C11,S09,Ratio de dépendance démographique,Banque mondiale (WDI),SP.POP.DPND,A,% des 15-64 ans,1,0
C11.SP.DYN.TFRT.IN,C11,S09,Indice synthétique de fécondité,Banque mondiale (WDI),SP.DYN.TFRT.IN,A,Naissances / femme,1,0
C11.SP.DYN.LE00.IN,C11,S09,Espérance de vie à la naissance,Banque mondiale (WDI),SP.DYN.LE00.IN,A,Années,1,0
C11.SP.DYN.CBRT.IN,C11,S09,Taux brut de natalité,Banque mondiale (WDI),SP.DYN.CBRT.IN,A,Pour 1 000 hab.,1,0
C11.SP.DYN.CDRT.IN,C11,S09,Taux brut de mortalité,Banque mondiale (WDI),SP.DYN.CDRT.IN,A,Pour 1 000 hab.,1,0
C11.SP.URB.TOTL.IN.ZS,C11,S09,Population urbaine,Banque mondiale (WDI),SP.URB.TOTL.IN.ZS,A,% du total,1,0
C11.SP.URB.GROW,C11,S09,Croissance de la population urbaine,Banque mondiale (WDI),SP.URB.GROW,A,% annuel,1,0
C11.SM.POP.NETM,C11,S09,Migration nette,Banque mondiale (WDI),SM.POP.NETM,A,Personnes,1,0
C11.EN.POP.DNST,C11,S09,Densité de population,Banque mondiale (WDI),EN.POP.DNST,A,Hab. / km²,1,0
C11.SE.PRM.NENR,C11,S10,"Taux net de scolarisation, primaire",Banque mondiale (WDI),SE.PRM.NENR,A,%,1,0
C11.SE.SEC.NENR,C11,S10,"Taux net de scolarisation, secondaire",Banque mondiale (WDI),SE.SEC.NENR,A,%,1,0
C11.SE.TER.ENRR,C11,S10,"Taux brut de scolarisation, supérieur",Banque mondiale (WDI),SE.TER.ENRR,A,%,1,0
C11.SE.PRM.CMPT.ZS,C11,S10,Taux d'achèvement du primaire,Banque mondiale (WDI),SE.PRM.CMPT.ZS,A,% du groupe d'âge,1,0
C11.SE.ADT.LITR.ZS,C11,S10,Taux d'alphabétisation des adultes,Banque mondiale (WDI),SE.ADT.LITR.ZS,A,% des 15 ans et +,1,0
C11.SE.XPD.TOTL.GD.ZS,C11,S10,Dépenses publiques d'éducation,Banque mondiale (WDI),SE.XPD.TOTL.GD.ZS,A,% du PIB,1,0
C11.SE.PRM.ENRL.TC.ZS,C11,S10,"Ratio élèves-enseignant, primaire",Banque mondiale (WDI),SE.PRM.ENRL.TC.ZS,A,Ratio,1,0
C11.SH.XPD.CHEX.GD.ZS,C11,S10,Dépenses courantes de santé,Banque mondiale (WDI),SH.XPD.CHEX.GD.ZS,A,% du PIB,1,0
C11.SH.XPD.CHEX.PC.CD,C11,S10,Dépenses de santé par habitant,Banque mondiale (WDI),SH.XPD.CHEX.PC.CD,A,USD courants,1,0
C11.SH.XPD.OOPC.CH.ZS,C11,S10,Dépenses de santé à la charge des ménages,Banque mondiale (WDI),SH.XPD.OOPC.CH.ZS,A,% des dép. de santé,1,0
C11.SP.DYN.IMRT.IN,C11,S10,Mortalité infantile,Banque mondiale (WDI),SP.DYN.IMRT.IN,A,Pour 1 000 nais. viv.,1,0
C11.SH.DYN.MORT,C11,S10,Mortalité des moins de 5 ans,Banque mondiale (WDI),SH.DYN.MORT,A,Pour 1 000 nais. viv.,1,0
C11.SH.STA.MMRT,C11,S10,Ratio de mortalité maternelle,Banque mondiale (WDI),SH.STA.MMRT,A,Pour 100 000 nais.,1,0
C11.SH.H2O.BASW.ZS,C11,S10,Accès à l'eau potable de base,Banque mondiale (WDI),SH.H2O.BASW.ZS,A,% de la population,1,0
C11.SH.STA.BASS.ZS,C11,S10,Accès à un assainissement de base,Banque mondiale (WDI),SH.STA.BASS.ZS,A,% de la population,1,0
C11.SN.ITK.DEFC.ZS,C11,S10,Prévalence de la sous-alimentation,Banque mondiale (WDI),SN.ITK.DEFC.ZS,A,% de la population,1,0
C11.SH.STA.STNT.ZS,C11,S10,Retard de croissance chez les moins de 5 ans,Banque mondiale (WDI),SH.STA.STNT.ZS,A,% des moins de 5 ans,1,0
C11.SH.MED.PHYS.ZS,C11,S10,Médecins pour 1 000 habitants,Banque mondiale (WDI),SH.MED.PHYS.ZS,A,Pour 1 000 hab.,1,0
C14.EG.ELC.ACCS.ZS,C14,S11,Accès à l'électricité,Banque mondiale (WDI),EG.ELC.ACCS.ZS,A,% de la population,1,0
C14.EG.USE.ELEC.KH.PC,C14,S11,Consommation d'électricité par habitant,Banque mondiale (WDI),EG.USE.ELEC.KH.PC,A,kWh / hab.,1,0
C14.EG.USE.PCAP.KG.OE,C14,S11,Consommation d'énergie primaire par habitant,Banque mondiale (WDI),EG.USE.PCAP.KG.OE,A,kg équiv. pétrole,1,0
C14.EG.FEC.RNEW.ZS,C14,S11,Part des énergies renouvelables,Banque mondiale (WDI),EG.FEC.RNEW.ZS,A,% de la conso finale,1,0
C14.EG.ELC.LOSS.ZS,C14,S11,Pertes de transport et distribution d'électricité,Banque mondiale (WDI),EG.ELC.LOSS.ZS,A,% de la production,1,0
C14.EG.EGY.PRIM.PP.KD,C14,S11,Intensité énergétique du PIB,Banque mondiale (WDI),EG.EGY.PRIM.PP.KD,A,MJ / USD PPA 2017,1,0
C14.IT.NET.USER.ZS,C14,S11,Utilisateurs d'Internet,Banque mondiale (WDI),IT.NET.USER.ZS,A,% de la population,1,0
